id,percentiile_Rank,Elision,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,1,144,155
,0,4,1,144,155
,0,5,1,144,155
,0,6,1,144,155
,0,7,1,144,155
,0,8,1,144,155
,0,9,1,144,155
,1,10,2,144,155
,1,11,2,144,155
,1,12,3,144,155
,1,13,3,144,155
,1,14,3,144,155
,2,15,4,144,155
,2,16,4,144,155
,2,17,4,144,155
,2,18,4,144,155
,5,19,5,144,155
,5,20,5,144,155
,9,21,6,144,155
,9,22,6,144,155
,16,23,7,144,155
,16,24,7,144,155
,25,25,8,144,155
,25,26,8,144,155
,37,27,9,144,155
,37,28,9,144,155
,37,29,9,144,155
,50,30,10,144,155
,63,31,12,144,155
,75,32,13,144,155
,84,33,14,144,155
,91,34,15,144,155
