id,percentiile_Rank,Elision,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,0,1,144,155,FALSE,TRUE
,0,1,1,144,155,FALSE,FALSE
,0,2,1,144,155,FALSE,FALSE
,0,3,1,144,155,FALSE,FALSE
,0,4,1,144,155,FALSE,FALSE
,0,5,1,144,155,FALSE,FALSE
,0,6,1,144,155,FALSE,FALSE
,0,7,1,144,155,FALSE,FALSE
,0,8,1,144,155,FALSE,FALSE
,0,9,1,144,155,FALSE,FALSE
,1,10,2,144,155,FALSE,FALSE
,1,11,2,144,155,FALSE,FALSE
,1,12,3,144,155,FALSE,FALSE
,1,13,3,144,155,FALSE,FALSE
,1,14,3,144,155,FALSE,FALSE
,2,15,4,144,155,FALSE,FALSE
,2,16,4,144,155,FALSE,FALSE
,2,17,4,144,155,FALSE,FALSE
,2,18,4,144,155,FALSE,FALSE
,5,19,5,144,155,FALSE,FALSE
,5,20,5,144,155,FALSE,FALSE
,9,21,6,144,155,FALSE,FALSE
,9,22,6,144,155,FALSE,FALSE
,16,23,7,144,155,FALSE,FALSE
,16,24,7,144,155,FALSE,FALSE
,25,25,8,144,155,FALSE,FALSE
,25,26,8,144,155,FALSE,FALSE
,37,27,9,144,155,FALSE,FALSE
,37,28,9,144,155,FALSE,FALSE
,37,29,9,144,155,FALSE,FALSE
,50,30,10,144,155,FALSE,FALSE
,63,31,12,144,155,FALSE,FALSE
,75,32,13,144,155,FALSE,FALSE
,84,33,14,144,155,FALSE,FALSE
,91,34,15,144,155,TRUE,FALSE
,16,0,7,52,55,FALSE,TRUE
,25,1,8,52,55,FALSE,FALSE
,37,2,9,52,55,FALSE,FALSE
,50,3,10,52,55,FALSE,FALSE
,50,4,10,52,55,FALSE,FALSE
,63,5,11,52,55,FALSE,FALSE
,63,6,11,52,55,FALSE,FALSE
,75,7,12,52,55,FALSE,FALSE
,75,8,12,52,55,FALSE,FALSE
,75,9,12,52,55,FALSE,FALSE
,84,10,13,52,55,FALSE,FALSE
,84,11,13,52,55,FALSE,FALSE
,84,12,13,52,55,FALSE,FALSE
,91,13,14,52,55,FALSE,FALSE
,91,14,14,52,55,FALSE,FALSE
,91,15,14,52,55,FALSE,FALSE
,95,16,15,52,55,FALSE,FALSE
,95,17,15,52,55,FALSE,FALSE
,95,18,15,52,55,FALSE,FALSE
,98,19,16,52,55,FALSE,FALSE
,98,20,16,52,55,FALSE,FALSE
,98,21,16,52,55,FALSE,FALSE
,99,22,17,52,55,FALSE,FALSE
,99,23,17,52,55,FALSE,FALSE
,99,24,17,52,55,FALSE,FALSE
,100,25,18,52,55,FALSE,FALSE
,100,26,18,52,55,FALSE,FALSE
,100,27,19,52,55,FALSE,FALSE
,100,28,19,52,55,FALSE,FALSE
,100,29,20,52,55,TRUE,FALSE
,25,0,8,48,51,FALSE,TRUE
,37,1,9,48,51,FALSE,FALSE
,50,2,10,48,51,FALSE,FALSE
,63,3,11,48,51,FALSE,FALSE
,63,4,11,48,51,FALSE,FALSE
,75,5,12,48,51,FALSE,FALSE
,75,6,12,48,51,FALSE,FALSE
,84,7,13,48,51,FALSE,FALSE
,84,8,13,48,51,FALSE,FALSE
,84,9,13,48,51,FALSE,FALSE
,91,10,14,48,51,FALSE,FALSE
,91,11,14,48,51,FALSE,FALSE
,91,12,14,48,51,FALSE,FALSE
,95,13,15,48,51,FALSE,FALSE
,95,14,15,48,51,FALSE,FALSE
,95,15,15,48,51,FALSE,FALSE
,98,16,16,48,51,FALSE,FALSE
,98,17,16,48,51,FALSE,FALSE
,98,18,16,48,51,FALSE,FALSE
,99,19,17,48,51,FALSE,FALSE
,99,20,17,48,51,FALSE,FALSE
,99,21,17,48,51,FALSE,FALSE
,100,22,18,48,51,FALSE,FALSE
,100,23,18,48,51,FALSE,FALSE
,100,24,18,48,51,FALSE,FALSE
,100,25,19,48,51,FALSE,FALSE
,100,26,19,48,51,FALSE,FALSE
,100,27,20,48,51,TRUE,FALSE
,5,0,5,60,65,FALSE,TRUE
,9,1,6,60,65,FALSE,FALSE
,16,2,7,60,65,FALSE,FALSE
,25,3,8,60,65,FALSE,FALSE
,37,4,9,60,65,FALSE,FALSE
,37,5,9,60,65,FALSE,FALSE
,37,6,9,60,65,FALSE,FALSE
,50,7,10,60,65,FALSE,FALSE
,50,8,10,60,65,FALSE,FALSE
,50,9,10,60,65,FALSE,FALSE
,63,10,11,60,65,FALSE,FALSE
,63,11,11,60,65,FALSE,FALSE
,63,12,11,60,65,FALSE,FALSE
,75,13,12,60,65,FALSE,FALSE
,75,14,12,60,65,FALSE,FALSE
,75,15,12,60,65,FALSE,FALSE
,84,16,13,60,65,FALSE,FALSE
,84,17,13,60,65,FALSE,FALSE
,84,18,13,60,65,FALSE,FALSE
,91,19,14,60,65,FALSE,FALSE
,91,20,14,60,65,FALSE,FALSE
,91,21,14,60,65,FALSE,FALSE
,95,22,15,60,65,FALSE,FALSE
,95,23,15,60,65,FALSE,FALSE
,98,24,16,60,65,FALSE,FALSE
,98,25,16,60,65,FALSE,FALSE
,98,26,16,60,65,FALSE,FALSE
,99,27,17,60,65,FALSE,FALSE
,99,28,17,60,65,FALSE,FALSE
,100,29,18,60,65,FALSE,FALSE
,100,30,19,60,65,FALSE,FALSE
,100,31,19,60,65,FALSE,FALSE
,100,32,20,60,65,TRUE,FALSE
,9,0,6,56,59,FALSE,TRUE
,16,1,7,56,59,FALSE,FALSE
,25,2,8,56,59,FALSE,FALSE
,37,3,9,56,59,FALSE,FALSE
,50,4,10,56,59,FALSE,FALSE
,50,5,10,56,59,FALSE,FALSE
,50,6,10,56,59,FALSE,FALSE
,63,7,11,56,59,FALSE,FALSE
,63,8,11,56,59,FALSE,FALSE
,63,9,11,56,59,FALSE,FALSE
,75,10,12,56,59,FALSE,FALSE
,75,11,12,56,59,FALSE,FALSE
,75,12,12,56,59,FALSE,FALSE
,84,13,13,56,59,FALSE,FALSE
,84,14,13,56,59,FALSE,FALSE
,84,15,13,56,59,FALSE,FALSE
,91,16,14,56,59,FALSE,FALSE
,91,17,14,56,59,FALSE,FALSE
,91,18,14,56,59,FALSE,FALSE
,95,19,15,56,59,FALSE,FALSE
,95,20,15,56,59,FALSE,FALSE
,95,21,15,56,59,FALSE,FALSE
,98,22,16,56,59,FALSE,FALSE
,98,23,16,56,59,FALSE,FALSE
,99,24,17,56,59,FALSE,FALSE
,99,25,17,56,59,FALSE,FALSE
,99,26,17,56,59,FALSE,FALSE
,100,27,18,56,59,FALSE,FALSE
,100,28,18,56,59,FALSE,FALSE
,100,29,19,56,59,FALSE,FALSE
,100,30,20,56,59,TRUE,FALSE
,2,0,4,66,71,FALSE,TRUE
,5,1,5,66,71,FALSE,FALSE
,9,2,6,66,71,FALSE,FALSE
,16,3,7,66,71,FALSE,FALSE
,25,4,8,66,71,FALSE,FALSE
,25,5,8,66,71,FALSE,FALSE
,25,6,8,66,71,FALSE,FALSE
,37,7,9,66,71,FALSE,FALSE
,37,8,9,66,71,FALSE,FALSE
,37,9,9,66,71,FALSE,FALSE
,50,10,10,66,71,FALSE,FALSE
,50,11,10,66,71,FALSE,FALSE
,50,12,10,66,71,FALSE,FALSE
,63,13,11,66,71,FALSE,FALSE
,64,14,12,66,71,FALSE,FALSE
,64,15,12,66,71,FALSE,FALSE
,75,16,13,66,71,FALSE,FALSE
,75,17,13,66,71,FALSE,FALSE
,75,18,13,66,71,FALSE,FALSE
,84,19,14,66,71,FALSE,FALSE
,84,20,14,66,71,FALSE,FALSE
,84,21,14,66,71,FALSE,FALSE
,91,22,15,66,71,FALSE,FALSE
,91,23,15,66,71,FALSE,FALSE
,95,24,16,66,71,FALSE,FALSE
,95,25,16,66,71,FALSE,FALSE
,95,26,16,66,71,FALSE,FALSE
,98,27,17,66,71,FALSE,FALSE
,98,28,17,66,71,FALSE,FALSE
,99,29,18,66,71,FALSE,FALSE
,100,30,18,66,71,FALSE,FALSE
,100,31,18,66,71,FALSE,FALSE
,100,32,19,66,71,FALSE,FALSE
,100,33,19,66,71,FALSE,FALSE
,100,34,19,66,71,TRUE,FALSE
,1,0,3,72,77,FALSE,TRUE
,2,1,4,72,77,FALSE,FALSE
,5,2,5,72,77,FALSE,FALSE
,9,3,6,72,77,FALSE,FALSE
,16,4,7,72,77,FALSE,FALSE
,16,5,7,72,77,FALSE,FALSE
,16,6,7,72,77,FALSE,FALSE
,25,7,8,72,77,FALSE,FALSE
,25,8,8,72,77,FALSE,FALSE
,25,9,8,72,77,FALSE,FALSE
,37,10,9,72,77,FALSE,FALSE
,37,11,9,72,77,FALSE,FALSE
,37,12,9,72,77,FALSE,FALSE
,50,13,10,72,77,FALSE,FALSE
,50,14,10,72,77,FALSE,FALSE
,50,15,10,72,77,FALSE,FALSE
,63,16,11,72,77,FALSE,FALSE
,63,17,11,72,77,FALSE,FALSE
,63,18,11,72,77,FALSE,FALSE
,75,19,12,72,77,FALSE,FALSE
,75,20,12,72,77,FALSE,FALSE
,75,21,12,72,77,FALSE,FALSE
,84,22,13,72,77,FALSE,FALSE
,84,23,13,72,77,FALSE,FALSE
,91,24,14,72,77,FALSE,FALSE
,91,25,14,72,77,FALSE,FALSE
,91,26,14,72,77,FALSE,FALSE
,95,27,15,72,77,FALSE,FALSE
,95,28,15,72,77,FALSE,FALSE
,98,29,16,72,77,FALSE,FALSE
,99,30,17,72,77,FALSE,FALSE
,99,31,17,72,77,FALSE,FALSE
,100,32,18,72,77,FALSE,FALSE
,100,33,18,72,77,FALSE,FALSE
,100,34,18,72,77,TRUE,FALSE
,0,0,2,78,83,FALSE,TRUE
,1,1,3,78,83,FALSE,FALSE
,2,2,4,78,83,FALSE,FALSE
,5,3,5,78,83,FALSE,FALSE
,9,4,6,78,83,FALSE,FALSE
,9,5,6,78,83,FALSE,FALSE
,9,6,6,78,83,FALSE,FALSE
,16,7,7,78,83,FALSE,FALSE
,16,8,7,78,83,FALSE,FALSE
,16,9,7,78,83,FALSE,FALSE
,25,10,8,78,83,FALSE,FALSE
,25,11,8,78,83,FALSE,FALSE
,25,12,8,78,83,FALSE,FALSE
,37,13,9,78,83,FALSE,FALSE
,37,14,9,78,83,FALSE,FALSE
,37,15,9,78,83,FALSE,FALSE
,50,16,10,78,83,FALSE,FALSE
,50,17,10,78,83,FALSE,FALSE
,50,18,10,78,83,FALSE,FALSE
,63,19,11,78,83,FALSE,FALSE
,64,20,11,78,83,FALSE,FALSE
,64,21,11,78,83,FALSE,FALSE
,75,22,12,78,83,FALSE,FALSE
,75,23,12,78,83,FALSE,FALSE
,84,24,13,78,83,FALSE,FALSE
,84,25,13,78,83,FALSE,FALSE
,84,26,13,78,83,FALSE,FALSE
,91,27,14,78,83,FALSE,FALSE
,91,28,14,78,83,FALSE,FALSE
,95,29,15,78,83,FALSE,FALSE
,98,30,16,78,83,FALSE,FALSE
,98,31,16,78,83,FALSE,FALSE
,99,32,17,78,83,FALSE,FALSE
,99,33,17,78,83,FALSE,FALSE
,100,34,18,78,83,TRUE,FALSE
,0,0,1,84,89,FALSE,TRUE
,0,1,2,84,89,FALSE,FALSE
,1,2,3,84,89,FALSE,FALSE
,2,3,4,84,89,FALSE,FALSE
,5,4,5,84,89,FALSE,FALSE
,5,5,5,84,89,FALSE,FALSE
,5,6,5,84,89,FALSE,FALSE
,9,7,6,84,89,FALSE,FALSE
,9,8,6,84,89,FALSE,FALSE
,9,9,6,84,89,FALSE,FALSE
,16,10,7,84,89,FALSE,FALSE
,16,11,7,84,89,FALSE,FALSE
,16,12,7,84,89,FALSE,FALSE
,25,13,8,84,89,FALSE,FALSE
,25,14,8,84,89,FALSE,FALSE
,25,15,8,84,89,FALSE,FALSE
,37,16,9,84,89,FALSE,FALSE
,37,17,9,84,89,FALSE,FALSE
,37,18,9,84,89,FALSE,FALSE
,50,19,10,84,89,FALSE,FALSE
,50,20,10,84,89,FALSE,FALSE
,50,21,10,84,89,FALSE,FALSE
,63,22,11,84,89,FALSE,FALSE
,63,23,11,84,89,FALSE,FALSE
,75,24,12,84,89,FALSE,FALSE
