id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,2,144,155
,0,4,2,144,155
,0,5,2,144,155
,1,6,3,144,155
,1,7,3,144,155
,1,8,3,144,155
,1,9,3,144,155
,1,10,3,144,155
,2,11,4,144,155
,2,12,4,144,155
,2,13,4,144,155
,2,14,4,144,155
,2,15,4,144,155
,5,16,5,144,155
,5,17,5,144,155
,5,18,5,144,155
,5,19,5,144,155
,9,20,6,144,155
,9,21,6,144,155
,16,22,7,144,155
,16,23,7,144,155
,25,24,8,144,155
,37,25,9,144,155
,37,26,9,144,155
,50,27,10,144,155
,63,28,11,144,155
,75,29,12,144,155
,84,30,13,144,155
,91,31,14,144,155
,95,32,15,144,155
