id,Percentile_Rank,Phoneme_Isolation,Scaled_Score,Min_Months,Max_Months,is_min,is_max
,0,0,1,144,155,TRUE,FALSE
,0,1,1,144,155,FALSE,FALSE
,0,2,1,144,155,FALSE,FALSE
,0,3,2,144,155,FALSE,FALSE
,0,4,2,144,155,FALSE,FALSE
,0,5,2,144,155,FALSE,FALSE
,1,6,3,144,155,FALSE,FALSE
,1,7,3,144,155,FALSE,FALSE
,1,8,3,144,155,FALSE,FALSE
,1,9,3,144,155,FALSE,FALSE
,1,10,3,144,155,FALSE,FALSE
,2,11,4,144,155,FALSE,FALSE
,2,12,4,144,155,FALSE,FALSE
,2,13,4,144,155,FALSE,FALSE
,2,14,4,144,155,FALSE,FALSE
,2,15,4,144,155,FALSE,FALSE
,5,16,5,144,155,FALSE,FALSE
,5,17,5,144,155,FALSE,FALSE
,5,18,5,144,155,FALSE,FALSE
,5,19,5,144,155,FALSE,FALSE
,9,20,6,144,155,FALSE,FALSE
,9,21,6,144,155,FALSE,FALSE
,16,22,7,144,155,FALSE,FALSE
,16,23,7,144,155,FALSE,FALSE
,25,24,8,144,155,FALSE,FALSE
,37,25,9,144,155,FALSE,FALSE
,37,26,9,144,155,FALSE,FALSE
,50,27,10,144,155,FALSE,FALSE
,63,28,11,144,155,FALSE,FALSE
,75,29,12,144,155,FALSE,FALSE
,84,30,13,144,155,FALSE,FALSE
,91,31,14,144,155,FALSE,FALSE
,95,32,15,144,155,FALSE,TRUE
,9,0,6,52,55,TRUE,FALSE
,16,1,7,52,55,FALSE,FALSE
,25,2,8,52,55,FALSE,FALSE
,37,3,9,52,55,FALSE,FALSE
,50,4,10,52,55,FALSE,FALSE
,50,5,10,52,55,FALSE,FALSE
,63,6,11,52,55,FALSE,FALSE
,63,7,11,52,55,FALSE,FALSE
,63,8,11,52,55,FALSE,FALSE
,63,9,11,52,55,FALSE,FALSE
,75,10,12,52,55,FALSE,FALSE
,75,11,12,52,55,FALSE,FALSE
,75,12,12,52,55,FALSE,FALSE
,84,13,13,52,55,FALSE,FALSE
,84,14,13,52,55,FALSE,FALSE
,84,15,13,52,55,FALSE,FALSE
,84,16,13,52,55,FALSE,FALSE
,91,17,14,52,55,FALSE,FALSE
,91,18,14,52,55,FALSE,FALSE
,95,19,15,52,55,FALSE,FALSE
,95,20,15,52,55,FALSE,FALSE
,98,21,16,52,55,FALSE,FALSE
,99,22,17,52,55,FALSE,FALSE
,99,23,17,52,55,FALSE,FALSE
,100,24,18,52,55,FALSE,FALSE
,100,25,19,52,55,FALSE,FALSE
,100,26,20,52,55,FALSE,TRUE
,16,0,7,48,51,TRUE,FALSE
,25,1,8,48,51,FALSE,FALSE
,37,2,9,48,51,FALSE,FALSE
,50,3,10,48,51,FALSE,FALSE
,63,4,11,48,51,FALSE,FALSE
,63,5,11,48,51,FALSE,FALSE
,75,6,12,48,51,FALSE,FALSE
,75,7,12,48,51,FALSE,FALSE
,75,8,12,48,51,FALSE,FALSE
,75,9,12,48,51,FALSE,FALSE
,84,10,13,48,51,FALSE,FALSE
,84,11,13,48,51,FALSE,FALSE
,91,12,14,48,51,FALSE,FALSE
,91,13,14,48,51,FALSE,FALSE
,91,14,14,48,51,FALSE,FALSE
,91,15,14,48,51,FALSE,FALSE
