id,Percentile_Rank,Rapid_Letter_Naming,Scaled_Score,Min_Months,Max_Months
,0,45,1,144,155
,0,44,2,144,155
,0,43,2,144,155
,0,42,2,144,155
,0,41,2,144,155
,0,40,2,144,155
,0,39,2,144,155
,0,38,2,144,155
,0,37,2,144,155
,0,36,2,144,155
,0,35,2,144,155
,1,34,3,144,155
,1,33,3,144,155
,1,32,3,144,155
,1,31,3,144,155
,1,30,3,144,155
,1,29,3,144,155
,1,28,3,144,155
,1,27,3,144,155
,2,26,4,144,155
,2,25,4,144,155
,2,24,4,144,155
,2,23,4,144,155
,2,22,4,144,155
,5,21,5,144,155
,5,20,5,144,155
,9,19,6,144,155
,9,18,6,144,155
,16,17,7,144,155
,25,16,8,144,155
,37,15,9,144,155
,50,14,10,144,155
,63,13,11,144,155
,75,12,12,144,155
,84,11,13,144,155
,91,10,14,144,155
,95,9,15,144,155
,98,8,16,144,155
,99,7,17,144,155
,100,6,18,144,155
,100,5,19,144,155
,100,4,19,144,155
,100,3,19,144,155
,100,2,19,144,155
,100,1,19,144,155
,100,0,19,144,155
