id,Percentile_Rank,Rapid_Digit_Naming,Scaled_Score,Min_Months,Max_Months,is_max,is_min
,0,35,1,144,155,TRUE,FALSE
,0,34,2,144,155,FALSE,FALSE
,0,33,2,144,155,FALSE,FALSE
,0,32,2,144,155,FALSE,FALSE
,0,31,2,144,155,FALSE,FALSE
,0,30,2,144,155,FALSE,FALSE
,1,29,3,144,155,FALSE,FALSE
,1,28,3,144,155,FALSE,FALSE
,1,27,3,144,155,FALSE,FALSE
,1,26,3,144,155,FALSE,FALSE
,1,25,3,144,155,FALSE,FALSE
,1,24,3,144,155,FALSE,FALSE
,2,23,4,144,155,FALSE,FALSE
,2,22,4,144,155,FALSE,FALSE
,5,21,5,144,155,FALSE,FALSE
,5,20,5,144,155,FALSE,FALSE
,5,19,5,144,155,FALSE,FALSE
,9,18,6,144,155,FALSE,FALSE
,9,17,6,144,155,FALSE,FALSE
,16,16,7,144,155,FALSE,FALSE
,25,15,8,144,155,FALSE,FALSE
,37,14,9,144,155,FALSE,FALSE
,50,13,10,144,155,FALSE,FALSE
,63,12,11,144,155,FALSE,FALSE
,75,11,12,144,155,FALSE,FALSE
,84,10,13,144,155,FALSE,FALSE
,91,9,14,144,155,FALSE,FALSE
,95,8,15,144,155,FALSE,FALSE
,98,7,16,144,155,FALSE,FALSE
,99,6,17,144,155,FALSE,FALSE
,100,5,18,144,155,FALSE,FALSE
,100,4,18,144,155,FALSE,FALSE
,100,3,18,144,155,FALSE,FALSE
,100,2,18,144,155,FALSE,FALSE
,100,1,18,144,155,FALSE,FALSE
,100,0,18,144,155,FALSE,TRUE
,0,105,2,52,55,TRUE,FALSE
,1,104,3,52,55,FALSE,FALSE
,1,103,3,52,55,FALSE,FALSE
,1,102,3,52,55,FALSE,FALSE
,1,101,3,52,55,FALSE,FALSE
,1,100,3,52,55,FALSE,FALSE
,1,99,3,52,55,FALSE,FALSE
,1,98,3,52,55,FALSE,FALSE
,2,97,4,52,55,FALSE,FALSE
,2,96,4,52,55,FALSE,FALSE
,2,95,4,52,55,FALSE,FALSE
,2,94,4,52,55,FALSE,FALSE
,2,93,4,52,55,FALSE,FALSE
,2,92,4,52,55,FALSE,FALSE
,2,91,4,52,55,FALSE,FALSE
,2,90,4,52,55,FALSE,FALSE
,5,89,5,52,55,FALSE,FALSE
,5,88,5,52,55,FALSE,FALSE
,5,87,5,52,55,FALSE,FALSE
,5,86,5,52,55,FALSE,FALSE
,5,85,5,52,55,FALSE,FALSE
,9,84,6,52,55,FALSE,FALSE
,9,83,6,52,55,FALSE,FALSE
,9,82,6,52,55,FALSE,FALSE
,9,81,6,52,55,FALSE,FALSE
,9,80,6,52,55,FALSE,FALSE
,16,79,7,52,55,FALSE,FALSE
,16,78,7,52,55,FALSE,FALSE
,16,77,7,52,55,FALSE,FALSE
,16,76,7,52,55,FALSE,FALSE
,16,75,7,52,55,FALSE,FALSE
,25,74,8,52,55,FALSE,FALSE
,25,73,8,52,55,FALSE,FALSE
,25,72,8,52,55,FALSE,FALSE
,25,71,8,52,55,FALSE,FALSE
,37,70,9,52,55,FALSE,FALSE
,37,69,9,52,55,FALSE,FALSE
,37,68,9,52,55,FALSE,FALSE
,37,67,9,52,55,FALSE,FALSE
,37,66,9,52,55,FALSE,FALSE
,37,65,9,52,55,FALSE,FALSE
,50,64,10,52,55,FALSE,FALSE
,50,63,10,52,55,FALSE,FALSE
,50,62,10,52,55,FALSE,FALSE
,50,61,10,52,55,FALSE,FALSE
,50,60,10,52,55,FALSE,FALSE
,50,59,10,52,55,FALSE,FALSE
,50,58,10,52,55,FALSE,FALSE
,63,57,11,52,55,FALSE,FALSE
,63,56,11,52,55,FALSE,FALSE
,63,55,11,52,55,FALSE,FALSE
,63,54,11,52,55,FALSE,FALSE
,63,53,11,52,55,FALSE,FALSE
,63,52,11,52,55,FALSE,FALSE
,63,51,11,52,55,FALSE,FALSE
,75,50,12,52,55,FALSE,FALSE
,75,49,12,52,55,FALSE,FALSE
,75,48,12,52,55,FALSE,FALSE
,75,47,12,52,55,FALSE,FALSE
,75,46,12,52,55,FALSE,FALSE
,75,45,12,52,55,FALSE,FALSE
,75,44,12,52,55,FALSE,FALSE
,75,43,12,52,55,FALSE,FALSE
,84,42,13,52,55,FALSE,FALSE
,84,41,13,52,55,FALSE,FALSE
,84,40,13,52,55,FALSE,FALSE
,84,39,13,52,55,FALSE,FALSE
,84,38,13,52,55,FALSE,FALSE
,84,37,13,52,55,FALSE,FALSE
,84,36,13,52,55,FALSE,FALSE
,84,35,13,52,55,FALSE,FALSE
,91,34,14,52,55,FALSE,FALSE
,91,33,14,52,55,FALSE,FALSE
,91,32,14,52,55,FALSE,FALSE
,91,31,14,52,55,FALSE,FALSE
,91,30,14,52,55,FALSE,FALSE
,91,29,14,52,55,FALSE,FALSE
,91,28,14,52,55,FALSE,FALSE
,91,27,14,52,55,FALSE,FALSE
,91,26,14,52,55,FALSE,FALSE
,91,25,14,52,55,FALSE,FALSE
,95,24,15,52,55,FALSE,FALSE
,95,23,15,52,55,FALSE,FALSE
,95,22,15,52,55,FALSE,FALSE
,95,21,15,52,55,FALSE,FALSE
,95,20,15,52,55,FALSE,FALSE
,95,19,15,52,55,FALSE,FALSE
,95,18,15,52,55,FALSE,FALSE
,95,17,15,52,55,FALSE,FALSE
,95,16,15,52,55,FALSE,FALSE
,98,15,16,52,55,FALSE,FALSE
,98,14,16,52,55,FALSE,FALSE
,98,13,16,52,55,FALSE,FALSE
,99,12,17,52,55,FALSE,FALSE
,99,11,17,52,55,FALSE,FALSE
,100,10,18,52,55,FALSE,FALSE
,100,9,19,52,55,FALSE,FALSE
,100,8,20,52,55,FALSE,TRUE
,0,108,2,48,51,TRUE,FALSE
,1,107,3,48,51,FALSE,FALSE
,1,106,3,48,51,FALSE,FALSE
,1,105,3,48,51,FALSE,FALSE
,1,104,3,48,51,FALSE,FALSE
,1,103,3,48,51,FALSE,FALSE
,1,102,3,48,51,FALSE,FALSE
,1,101,3,48,51,FALSE,FALSE
,1,100,3,48,51,FALSE,FALSE
,2,99,4,48,51,FALSE,FALSE
,2,98,4,48,51,FALSE,FALSE
,2,97,4,48,51,FALSE,FALSE
,2,96,4,48,51,FALSE,FALSE
,2,95,4,48,51,FALSE,FALSE
,2,94,4,48,51,FALSE,FALSE
,2,93,4,48,51,FALSE,FALSE
,2,92,4,48,51,FALSE,FALSE
,5,91,5,48,51,FALSE,FALSE
,5,90,5,48,51,FALSE,FALSE
,5,89,5,48,51,FALSE,FALSE
,5,88,5,48,51,FALSE,FALSE
,5,87,5,48,51,FALSE,FALSE
,9,86,6,48,51,FALSE,FALSE
,9,85,6,48,51,FALSE,FALSE
,9,84,6,48,51,FALSE,FALSE
,9,83,6,48,51,FALSE,FALSE
