id,Percentile_Rank,Segmenting_Nonwords,Scaled_Score,Min_Months,Max_Months
,0,0,1,144,155
,0,1,1,144,155
,0,2,1,144,155
,0,3,1,144,155
,0,4,2,144,155
,0,5,2,144,155
,1,6,3,144,155
,1,7,3,144,155
,2,8,4,144,155
,2,9,4,144,155
,5,10,5,144,155
,5,11,5,144,155
,9,12,6,144,155
,9,13,6,144,155
,16,14,7,144,155
,16,15,7,144,155
,25,16,8,144,155
,25,17,8,144,155
,37,18,9,144,155
,37,19,9,144,155
,50,20,10,144,155
,50,21,10,144,155
,63,22,11,144,155
,63,23,11,144,155
,75,24,12,144,155
,84,25,13,144,155
,91,26,14,144,155
,95,27,15,144,155
,98,28,16,144,155
,99,29,17,144,155
,100,30,18,144,155
,100,31,19,144,155
